Question,Response
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Irregularities due to Covid 19
Challenges which parents raised if any:,---
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,none
Challenges which parents raised if any:,Nil 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Covid 19 and net 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nothing 
Challenges which parents raised if any:,Corona pandemic and all have not smartphones
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Managing online and offline studies 
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Lack of Teachers
Challenges which parents raised if any:,None
Challenges which parents raised if any:,..
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Network issue
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Covid 19
Challenges which parents raised if any:,No
Challenges which parents raised if any:,#
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,Covid 19 and net
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,....
Challenges which parents raised if any:,Covid 19 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Covid
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,They don't have device for zoom classes
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Covid 
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,No issue raised
Challenges which parents raised if any:,nill
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NA 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,..
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,N/A
Challenges which parents raised if any:,To make students attend online classes
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nill 
Challenges which parents raised if any:,Nill 
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Improvement in learning outcomes 
Challenges which parents raised if any:,Nip
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Fulfil mission
Challenges which parents raised if any:,Mobile data problem
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Fulfil mission
Challenges which parents raised if any:,Fulfil mission
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Covid
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Corona challenge
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Improvement in infrastructure 
Challenges which parents raised if any:,Smartphone problem
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No problem
Challenges which parents raised if any:,No problem
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NO
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Yes
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Smartphone problem
Challenges which parents raised if any:,Smartphone not available
Challenges which parents raised if any:,Irregularities of students due to Covid 19
Challenges which parents raised if any:,Nill
Challenges which parents raised if any:,Nill
Challenges which parents raised if any:,No issues raised
Challenges which parents raised if any:,No issues raised
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nol
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nilll
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,To construct School Building 
Challenges which parents raised if any:,Building should be sufficient 
Challenges which parents raised if any:,PARENTS ARE COPERATE WITH TEACGER
Challenges which parents raised if any:,No 
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No challenge
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Online class problem
Challenges which parents raised if any:,not any
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,what will be the mode of final exam
Challenges which parents raised if any:,.
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No 
Challenges which parents raised if any:,Irregularities of students due to Covid 19
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,covid 19 problem face
Challenges which parents raised if any:,None
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,Lack of staff
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Internet connection
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Irregularities of students due to Covid 19
Challenges which parents raised if any:,No
Challenges which parents raised if any:,none
Challenges which parents raised if any:,Managing online and offline studies 
Challenges which parents raised if any:,Online teaching
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No issue raised
Challenges which parents raised if any:,No 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,Online  study  provide mobile. Device
Challenges which parents raised if any:,.
Challenges which parents raised if any:,.
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,.
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Lack of phones even net problem is there 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Covid 19
Challenges which parents raised if any:,no
Challenges which parents raised if any:, Covid 19
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,none
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Lack of phones 
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,....
Challenges which parents raised if any:,....
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,.
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Students feel stress
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Need physical classes
Challenges which parents raised if any:,NO
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Less practice at home
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,.....
Challenges which parents raised if any:,Covid
Challenges which parents raised if any:,not any
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,na
Challenges which parents raised if any:,Irregularities of students due to Covid 19
Challenges which parents raised if any:,Managing online and offline studies 
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,na
Challenges which parents raised if any:,Covid 19
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,---
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,nill
Challenges which parents raised if any:,..
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,none
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NO
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,fear of covid 19
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Covid 19
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Online teaching
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,mode of exams?
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,Students feel stress
Challenges which parents raised if any:,No
Challenges which parents raised if any:,none
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,Lack of staff 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No problem
Challenges which parents raised if any:,"No problems
"
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,no
Challenges which parents raised if any:,no
Challenges which parents raised if any:, No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,nill
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Most students work part time.
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,Internet connection
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Covid 19
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,ok
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,Irregularities of students due to Covid 19
Challenges which parents raised if any:,Online teaching
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not mentioned
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Lack of staff
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:, For online classes net  pack problem
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not mentioned
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Managing online and offline studies 
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Not specific
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Lack of staff
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Ño
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,#
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Fear of covid 19
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,fear of covid 19
Challenges which parents raised if any:,Fear of covid 19
Challenges which parents raised if any:,fear of covid 19
Challenges which parents raised if any:,No 
Challenges which parents raised if any:,Lack of phone
Challenges which parents raised if any:,None
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Online teaching
Challenges which parents raised if any:,na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Unavailability of smartphones 
Challenges which parents raised if any:,No issue raised
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No
Challenges which parents raised if any:,none
Challenges which parents raised if any:,none
Challenges which parents raised if any:,Managing online and offline studies 
Challenges which parents raised if any:,Network issues 
Challenges which parents raised if any:,none
Challenges which parents raised if any:,.
Challenges which parents raised if any:,none
Challenges which parents raised if any:,....
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No issue raised
Challenges which parents raised if any:,No
Challenges which parents raised if any:,#
Challenges which parents raised if any:,Nothing 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Covid 19 and net
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No problems
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Covid
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,None
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Students feelstress
Challenges which parents raised if any:,No 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Corona 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Not mentined
Challenges which parents raised if any:,None
Challenges which parents raised if any:,not any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Phone problem is there 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,fear of covid 19
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No 
Challenges which parents raised if any:,none
Challenges which parents raised if any:,None
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Delay in 8th exams
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No challenge
Challenges which parents raised if any:,None
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None
Challenges which parents raised if any:,fear of covid 19
Challenges which parents raised if any:,Fear of covid 19 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Fear of  covid 19
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not mention
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,Students feel stress
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Improvement in learning outcomes 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Improvement in learning outcomes 
Challenges which parents raised if any:,.nil
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,Covid 19
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,N/A
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Delay in eams of board Classes
Challenges which parents raised if any:,not any
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No challenges 
Challenges which parents raised if any:,None
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Corona 
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Yes
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,nill
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:,N/A
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Many students are not having smartphones 
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil 
Challenges which parents raised if any:,Students Self Study
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Students Self Study
Challenges which parents raised if any:,---
Challenges which parents raised if any:,No
Challenges which parents raised if any:, Nothing 
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Door to door visits
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Smartphones unavailability 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Ni
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Fear of  coviid 19
Challenges which parents raised if any:,---
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No challenge raised
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No challenge 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,. 
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Fear of covid 19 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Reopen schools 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,None
Challenges which parents raised if any:,na
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,na
Challenges which parents raised if any:,None
Challenges which parents raised if any:,na
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Online teaching
Challenges which parents raised if any:,Nik
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,nill
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,none
Challenges which parents raised if any:,Lack of staff
Challenges which parents raised if any:,N/A
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Don't have mobile
Challenges which parents raised if any:,None
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Having not mobile phones
Challenges which parents raised if any:,Managing online and offline studies 
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Covid 19
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Concerned about Delay in 8th class papers
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:,No 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No
Challenges which parents raised if any:,.. 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No issue raised
Challenges which parents raised if any:,---
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Less no. of teachers in school
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Due to covid students feel stress
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,Fear of covid 19
Challenges which parents raised if any:,....
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Improvement in learning outcomes 
Challenges which parents raised if any:,"
"
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No any 
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NO
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,To make students attend online classes
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,Covid
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Concerned about delay in exams of 8th class.
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,Unavailability of smartphones 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No challenge raised
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Door to door visits
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Regarding reopening of schools
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Due to covid students feel stress
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,.
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Yes
Challenges which parents raised if any:,No
Challenges which parents raised if any:,---
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Unavailability of smartphones 
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No 
